HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 5/28/2026 5:50:25 PM
Notes: 

[Channel Information]
0,6160,2630,6304,6305,68,2500,2331,2300,3,2135,11,2170,12,16,2172,14,52,6502,35,73,2176,76,69,2114,17,4,98,67,2302,2178,94,6319,7,6,8000,60,15,2100,2127,47,2124,2340,2125
Offset,WB EQ Ratio Bank 1,Knock Retard,Short Term Fuel Trim Bank 1,Long Term Fuel Trim Bank 1,Equivalence Ratio Commanded (SAE),Timing Advance,Manifold Absolute Pressure,Mass Airflow,Fuel System #1 Status (SAE),Engine RPM,Intake Manifold Absolute Pressure (SAE),Intake Cam Des Angle,Engine RPM (SAE),Mass Airflow (SAE),Intake Cam Angle,Timing Advance (SAE),WB EQ Ratio 1 (SAE) (2),Fuel Pressure,Fuel Rail Pressure (SAE),Accelerator Position D (SAE),Exhaust Cam Des Angle,Commanded Throttle Actuator (SAE),Relative Throttle Position (SAE),Accelerator Pedal Position,Throttle Position (SAE),Calculated Engine Load (SAE),Actual Engine Torque (SAE),Absolute Load (SAE),Mass Airflow Sensor,Exhaust Cam Angle,Engine Fuel Rate (SAE),Injector Pulse Width,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Vehicle Speed,Catalyst Temp B1S1 (SAE),Intake Air Temp (SAE),Control Module Voltage,Intake Air Temp,Fuel Level Input (SAE),Engine Coolant Temp,Barometric Pressure,Ambient Air Temp
s,λ,°,%,%,λ,°,psi,lb/min,,rpm,psi,°,rpm,lb/min,°,°,λ,psi,psi,%,°,%,%,%,%,%,%,%,V,°,L/h,ms,%,%,mph,°F,°F,V,°F,%,°F,psi,°F

[Channel Data]
0.000,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.093,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.186,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.279,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.372,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.465,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.558,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.651,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.744,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.837,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
0.930,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.023,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.116,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.209,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.302,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.395,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.488,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
1.581,1,0.00,0.0,0.0,1,0.0,14.6488115077,0,---,0,14.6488115077,0,0,0,0,0.0,1,0,0,22.0,0,22.0,22.0,22.0,22.0,0,0,0,0,0,0,0,0.0,0.0,0,0,77,0,77.0,0,75,101,77
