Time (s),Absolute load,Accelerator pedal position (%),Actual equivalence/air to fuel ratio (λ),Actual exhaust camshaft retard from max advance position (°),Actual intake camshaft advance from max retard position (°),Catalyst Temperature (%),Desired equivalence/air to fuel ratio (λ),Desired exhaust camshaft retard from max advance position (°),Desired intake camshaft advance from max retard position (°),Engine RPM,Fuel injection pulse width (ms),Ignition timing advance (°),Intake air temperature (°F),Intake manifold absolute pressure (kPa),Knock retard (°),Long term fuel trim (%),Mass airflow (g/s),Short term fuel trim (primary sensor) (%)
-1983.501,0.110,0.0,0.859,0.25,25.9,735.7,0.909,0.0,26.1,1259,0.480,21.0,79,22.0,0.00,1.6,1.77,0.0
-1983.392,0.103,0.0,0.865,0.15,25.9,735.7,0.909,0.0,25.0,1256,0.480,21.5,79,22.5,0.00,1.6,1.74,0.0
-1983.284,0.098,0.0,0.872,0.18,25.4,735.7,0.909,0.0,24.6,1227,0.480,23.1,79,23.8,0.00,1.6,2.54,0.0
-1983.175,0.106,0.0,0.880,0.14,25.0,735.6,0.909,0.0,24.6,1229,0.480,22.6,79,25.0,0.00,1.6,3.68,0.0
-1983.066,0.114,0.0,0.883,0.03,24.5,735.4,0.909,0.0,24.5,1226,0.480,17.6,79,24.6,0.00,1.6,2.95,0.0
-1982.958,0.114,0.0,0.883,0.15,24.4,735.3,0.909,0.0,24.3,1215,0.480,18.7,79,23.6,0.00,1.6,2.90,0.0
-1982.849,0.110,0.0,0.883,0.09,23.9,735.2,0.909,0.0,24.1,1203,0.480,21.0,79,23.0,0.00,1.6,2.26,0.0
-1982.740,0.102,0.0,0.888,0.11,23.6,735.1,0.909,0.0,23.7,1182,0.480,28.0,79,23.5,0.00,1.6,1.49,0.0
-1982.632,0.103,0.0,0.891,0.13,23.1,735.0,0.909,0.0,23.5,1172,0.480,32.8,79,25.0,0.00,1.6,2.61,0.0
-1982.523,0.112,0.0,0.891,0.13,23.3,734.9,0.909,0.0,23.7,1179,0.480,35.4,79,26.0,0.00,1.6,2.96,0.0
-1982.414,0.113,0.0,0.885,0.23,23.6,734.9,0.909,0.0,23.7,1184,0.480,36.0,79,25.0,0.00,1.6,1.88,0.0
-1982.306,0.108,0.0,0.878,0.16,23.5,734.8,0.909,0.0,23.2,1161,0.480,34.3,79,24.9,0.00,1.6,2.25,0.0
-1982.197,0.107,0.0,0.875,0.13,23.1,734.7,0.909,0.0,22.7,1136,0.480,33.5,79,26.3,0.00,1.6,2.62,0.0
-1982.089,0.111,0.0,0.875,0.17,22.6,734.6,0.909,0.0,22.2,1114,0.480,33.5,79,27.0,0.00,1.6,3.23,0.0
-1981.980,0.114,0.0,0.875,0.15,21.7,734.5,0.909,0.0,21.4,1076,0.480,34.5,79,27.0,0.00,1.6,2.83,0.0
