HP Tuners CSV Log File
Version: 1.0

[Log Information]
Creation Time: 3/17/2026 9:33:00 PM
Notes: 

[Channel Information]
0,6160,2630,6304,6305,68,2500,2331,2300,3,2135,11,2170,12,16,2172,14,52,6502,35,73,2176,76,69,2114,17,4,98,67,2302,2178,94,6319,7,6,8000,60,15,2100,2127,47,2124,2340,2125
Offset,WB EQ Ratio Bank 1,Knock Retard,Short Term Fuel Trim Bank 1,Long Term Fuel Trim Bank 1,Equivalence Ratio Commanded (SAE),Timing Advance,Manifold Absolute Pressure,Mass Airflow,Fuel System #1 Status (SAE),Engine RPM,Intake Manifold Absolute Pressure (SAE),Intake Cam Des Angle,Engine RPM (SAE),Mass Airflow (SAE),Intake Cam Angle,Timing Advance (SAE),WB EQ Ratio 1 (SAE) (2),Fuel Pressure,Fuel Rail Pressure (SAE),Accelerator Position D (SAE),Exhaust Cam Des Angle,Commanded Throttle Actuator (SAE),Relative Throttle Position (SAE),Accelerator Pedal Position,Throttle Position (SAE),Calculated Engine Load (SAE),Actual Engine Torque (SAE),Absolute Load (SAE),Mass Airflow Sensor,Exhaust Cam Angle,Engine Fuel Rate (SAE),Injector Pulse Width,Long Term Fuel Trim Bank 1 (SAE),Short Term Fuel Trim Bank 1 (SAE),Vehicle Speed,Catalyst Temp B1S1 (SAE),Intake Air Temp (SAE),Control Module Voltage,Intake Air Temp,Fuel Level Input (SAE),Engine Coolant Temp,Barometric Pressure,Ambient Air Temp
s,λ,°,%,%,λ,°,psi,lb/min,,rpm,psi,°,rpm,lb/min,°,°,λ,psi,psi,%,°,%,%,%,%,%,%,%,V,°,L/h,ms,%,%,mph,°F,°F,V,°F,%,°F,psi,°F

[Channel Data]
0.352,0.9959335095,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,55.114342681,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.685546875,0,0,0,0,0,0,58.82,62.6,14.118,62.6,69.4117647059,138.2,99.1722564697,47.3
0.374,0.9959335095,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,56.5647201199,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.685546875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.385,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,56.5647201199,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.685546875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.397,0.9959335095,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,52.213587803,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.685546875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.412,0.9959335095,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,52.213587803,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.685546875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.417,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,58.0150975589,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.428,0.9959335095,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,55.114342681,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.437,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,52.213587803,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.449,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,55.114342681,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.457,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,55.114342681,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.467,0.9959335095,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,55.114342681,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.477,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,55.114342681,52.213587803,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
0.488,0.995933509,0,0,0,1.000579834,0,6.0915852437,0,---,0,6.0915852437,35,0,0,35.5448379517,0,1,56.5647201199,52.2826533954,15.2941176471,0,14.9019607843,12.1568627451,0,22.3529411765,0,0,0,1.6904296875,0,0,0,0,0,0,58.82,62.6,14.117,62.6,69.4117647059,138.2,99.1722564697,47.3
